['佛山', '桂城怡翠花园', '南海', '桂城营销中心', '113.168257', '23.042044', '已建', 0, 0, 0, 0]
['佛山', '南海妇幼保健院', '南海', '桂城营销中心', '113.165263', '23.038602', '否', 42, 0, 6, 36]
['佛山', '佛山中海千灯湖', '南海', '桂城营销中心', '113.152218', '23.070458', '已建', 0, 0, 0, 0]
['佛山', '佛山创鸿水韵尚都', '南海', '桂城营销中心', '113.149614', '23.068447', '已建', 0, 0, 0, 0]
['佛山', '佛山保利一号公馆', '南海', '桂城营销中心', '113.152643', '23.062994', '已建', 0, 0, 0, 0]
['佛山', '佛山御城花园酒店', '南海', '桂城营销中心', '113.163297', '23.043357', '否', 0, 0, 0, 0]
['佛山', '保利洲际酒店', '南海', '桂城营销中心', '113.154558', '23.063185', '否', 0, 0, 0, 0]
['佛山', '维也纳酒店', '南海', '桂城营销中心', '113.147891', '23.04374', '否', 0, 0, 0, 0]
['佛山', '佛山米纳意假日酒店', '南海', '桂城营销中心', '113.17825', '23.030312', '否', 0, 0, 0, 0]
['佛山', '财汇大厦', '南海', '桂城营销中心', '113.146149', '23.047922', '否', 0, 0, 0, 0]
['佛山', '桂城丽致酒店', '南海', '桂城营销中心', '113.146149', '23.047922', '否', 0, 0, 0, 0]
['佛山', '丹灶环保学院', '南海', '丹灶营销中心', '112.916714', '23.055595', '已建', 0, 0, 0, 0]
['佛山', '广东石油化工职业技术学院', '南海', '狮山营销中心', '113.039804', '23.154876', '否', 0, 0, 0, 0]
['佛山', '南海东软信息技术职业学院', '南海', '狮山营销中心', '113.032479', '23.143304', '已建', 0, 0, 0, 0]
['佛山', '广东轻工职业技术学院南海校区', '南海', '狮山营销中心', '113.041877', '23.165899', '已建', 0, 0, 0, 0]
['佛山', '华南师范大学南海校区', '南海', '狮山营销中心', '113.035468', '23.153422', '否', 0, 0, 0, 0]
['佛山', '黄岐财富广场', '南海', '黄岐营销中心', '113.215623', '23.147541', '否', 8, 0, 0, 8]
['佛山', '黄岐医院', '南海', '黄岐营销中心', '113.19218', '23.123173', '否', 0, 0, 0, 0]
['佛山', '中英假日酒店', '南海', '黄岐营销中心', '113.189419', '23.111631', '否', 0, 0, 0, 0]
['佛山', '宏威大厦', '南海', '黄岐营销中心', '113.199047', '23.118686', '否', 0, 0, 0, 0]
['佛山', '真爱娱乐城', '南海', '黄岐营销中心', '113.198355', '23.118154', '否', 0, 0, 0, 0]
['佛山', '黄岐大金地假日酒店', '南海', '黄岐营销中心', '113.202408', '23.119301', '否', 0, 0, 0, 0]
['佛山', '黄岐百货大厦', '南海', '黄岐营销中心', '113.192966', '23.121227', '否', 0, 0, 0, 0]
['佛山', '黄岐嘉洲广场', '南海', '黄岐营销中心', '113.195429', '23.114756', '已建', 0, 0, 0, 0]
['佛山', '黄岐茶博城', '南海', '黄岐营销中心', '113.188352', '23.114248', '否', 0, 0, 0, 0]
['佛山', '桂城怡翠花园', '南海', '桂城营销中心', '113.168257', '23.042044', '已建', 0, 0, 0, 0]
['佛山', '桂城联华大厦', '南海', '桂城营销中心', '113.147455', '23.064033', '已建', 0, 0, 0, 0]
['佛山', '桂城叠南德宝花园', '南海', '桂城营销中心', '113.131992', '23.055728', '否', 0, 0, 0, 0]
['佛山', '桂城清华园', '南海', '桂城营销中心', '113.157115', '23.031085', '已建', 0, 0, 0, 0]
['佛山', '桂城保利花园', '南海', '桂城营销中心', '113.15973', '23.070882', '否', 0, 0, 0, 0]
['佛山', '桂城凯德广场', '南海', '桂城营销中心', '113.147261', '23.039134', '否', 0, 0, 0, 0]
['佛山', '桂城南海电信公司大楼', '南海', '桂城营销中心', '113.145335', '23.060163', '否', 5, 0, 0, 5]
['佛山', '桂城颐景园', '南海', '桂城营销中心', '113.172491', '23.040639', '已建', 0, 0, 0, 0]
['佛山', '桂城锦绣花园', '南海', '桂城营销中心', '113.133243', '23.052935', '否', 0, 0, 0, 0]
['佛山', '桂城怡翠世嘉花园', '南海', '桂城营销中心', '113.15916', '23.015993', '否', 0, 0, 0, 0]
['佛山', '桂城保利东岸', '南海', '桂城营销中心', '113.154707', '23.066146', '否', 0, 0, 0, 0]
['佛山', '桂城南海区人民医院（三级甲等）', '南海', '桂城营销中心', '113.136157', '23.041429', '已建', 8, 0, 4, 4]
['佛山', '桂城保利西街', '南海', '桂城营销中心', '113.152615', '23.065595', '否', 0, 0, 0, 0]
['佛山', '桂城海景花园', '南海', '桂城营销中心', '113.150669', '23.064648', '已建', 0, 0, 0, 0]
['佛山', '桂城俊雅花园', '南海', '桂城营销中心', '113.143345', '23.063237', '否', 7, 0, 7, 0]
['佛山', '桂城中海万锦豪园', '南海', '桂城营销中心', '113.15958', '23.057674', '已建', 0, 0, 0, 0]
['佛山', '桂城怡翠玫瑰园', '南海', '桂城营销中心', '113.152619', '23.016808', '已建', 0, 0, 0, 0]
['佛山', '桂城新鸿基华南金融城', '南海', '桂城营销中心', '113.155619', '23.061119', '否', 0, 0, 0, 0]
['佛山', '桂城南海广场', '南海', '桂城营销中心', '113.145933', '23.04921', '已建', 0, 0, 0, 0]
['佛山', '南海家天下广场', '南海', '桂城营销中心', '113.160381', '23.046583', '否', 0, 0, 0, 0]
['佛山', '佛山大润发桂城店', '南海', '桂城营销中心', '113.141352', '23.054905', '否', 0, 0, 0, 0]
['佛山', '佛山南海新湖大酒店', '南海', '桂城营销中心', '113.158536', '23.044779', '已建', 0, 0, 0, 0]
['佛山', '财联大厦', '南海', '桂城营销中心', '113.146763', '23.054755', '否', 62, 62, 0, 0]
['佛山', '桂城瀚天科技城', '南海', '桂城营销中心', '113.181325', '23.03402', '已建', 0, 0, 0, 0]
['佛山', '桂城医院', '南海', '桂城营销中心', '113.148639', '23.046076', '否', 0, 0, 0, 0]
['佛山', '广东省中西医结合医院', '南海', '桂城营销中心', '113.14925', '23.052282', '否', 0, 0, 0, 0]
['佛山', '南海妇幼保健院', '南海', '桂城营销中心', '113.165263', '23.038602', '否', 42, 0, 6, 36]
['佛山', '佛山中海千灯湖', '南海', '桂城营销中心', '113.152218', '23.070458', '已建', 0, 0, 0, 0]
['佛山', '佛山创鸿水韵尚都', '南海', '桂城营销中心', '113.149614', '23.068447', '已建', 0, 0, 0, 0]
['佛山', '佛山保利一号公馆', '南海', '桂城营销中心', '113.152643', '23.062994', '已建', 0, 0, 0, 0]
['佛山', '佛山御城花园酒店', '南海', '桂城营销中心', '113.163297', '23.043357', '否', 0, 0, 0, 0]
['佛山', '保利洲际酒店', '南海', '桂城营销中心', '113.154558', '23.063185', '否', 0, 0, 0, 0]
['佛山', '维也纳酒店', '南海', '桂城营销中心', '113.147891', '23.04374', '否', 0, 0, 0, 0]
['佛山', '佛山米纳意假日酒店', '南海', '桂城营销中心', '113.17825', '23.030312', '否', 0, 0, 0, 0]
['佛山', '财汇大厦', '南海', '桂城营销中心', '113.146149', '23.047922', '否', 0, 0, 0, 0]
['佛山', '桂城丽致酒店', '南海', '桂城营销中心', '113.146149', '23.047922', '否', 0, 0, 0, 0]
['佛山', '丹灶环保学院', '南海', '丹灶营销中心', '112.916714', '23.055595', '已建', 0, 0, 0, 0]
['佛山', '广东石油化工职业技术学院', '南海', '狮山营销中心', '113.039804', '23.154876', '否', 0, 0, 0, 0]
['佛山', '南海东软信息技术职业学院', '南海', '狮山营销中心', '113.032479', '23.143304', '已建', 0, 0, 0, 0]
['佛山', '广东轻工职业技术学院南海校区', '南海', '狮山营销中心', '113.041877', '23.165899', '已建', 0, 0, 0, 0]
['佛山', '华南师范大学南海校区', '南海', '狮山营销中心', '113.035468', '23.153422', '否', 0, 0, 0, 0]
['佛山', '黄岐财富广场', '南海', '黄岐营销中心', '113.215623', '23.147541', '否', 8, 0, 0, 8]
['佛山', '黄岐医院', '南海', '黄岐营销中心', '113.19218', '23.123173', '否', 0, 0, 0, 0]
['佛山', '中英假日酒店', '南海', '黄岐营销中心', '113.189419', '23.111631', '否', 0, 0, 0, 0]
['佛山', '宏威大厦', '南海', '黄岐营销中心', '113.199047', '23.118686', '否', 0, 0, 0, 0]
['佛山', '真爱娱乐城', '南海', '黄岐营销中心', '113.198355', '23.118154', '否', 0, 0, 0, 0]
['佛山', '黄岐大金地假日酒店', '南海', '黄岐营销中心', '113.202408', '23.119301', '否', 0, 0, 0, 0]
['佛山', '黄岐百货大厦', '南海', '黄岐营销中心', '113.192966', '23.121227', '否', 0, 0, 0, 0]
['佛山', '黄岐嘉洲广场', '南海', '黄岐营销中心', '113.195429', '23.114756', '已建', 0, 0, 0, 0]
['佛山', '黄岐茶博城', '南海', '黄岐营销中心', '113.188352', '23.114248', '否', 0, 0, 0, 0]
['佛山', '桂城怡翠花园', '南海', '桂城营销中心', '113.168257', '23.042044', '已建', 0, 0, 0, 0]
['佛山', '桂城联华大厦', '南海', '桂城营销中心', '113.147455', '23.064033', '已建', 0, 0, 0, 0]
['佛山', '桂城叠南德宝花园', '南海', '桂城营销中心', '113.131992', '23.055728', '否', 0, 0, 0, 0]
['佛山', '桂城清华园', '南海', '桂城营销中心', '113.157115', '23.031085', '已建', 0, 0, 0, 0]
['佛山', '桂城保利花园', '南海', '桂城营销中心', '113.15973', '23.070882', '否', 0, 0, 0, 0]
['佛山', '桂城凯德广场', '南海', '桂城营销中心', '113.147261', '23.039134', '否', 0, 0, 0, 0]
['佛山', '桂城南海电信公司大楼', '南海', '桂城营销中心', '113.145335', '23.060163', '否', 5, 0, 0, 5]
['佛山', '桂城颐景园', '南海', '桂城营销中心', '113.172491', '23.040639', '已建', 0, 0, 0, 0]
['佛山', '桂城锦绣花园', '南海', '桂城营销中心', '113.133243', '23.052935', '否', 0, 0, 0, 0]
['佛山', '桂城怡翠世嘉花园', '南海', '桂城营销中心', '113.15916', '23.015993', '否', 0, 0, 0, 0]
['佛山', '桂城保利东岸', '南海', '桂城营销中心', '113.154707', '23.066146', '否', 0, 0, 0, 0]
['佛山', '桂城南海区人民医院（三级甲等）', '南海', '桂城营销中心', '113.136157', '23.041429', '已建', 8, 0, 4, 4]
['佛山', '桂城保利西街', '南海', '桂城营销中心', '113.152615', '23.065595', '否', 0, 0, 0, 0]
['佛山', '桂城海景花园', '南海', '桂城营销中心', '113.150669', '23.064648', '已建', 0, 0, 0, 0]
['佛山', '桂城俊雅花园', '南海', '桂城营销中心', '113.143345', '23.063237', '否', 7, 0, 7, 0]
['佛山', '桂城中海万锦豪园', '南海', '桂城营销中心', '113.15958', '23.057674', '已建', 0, 0, 0, 0]
['佛山', '桂城怡翠玫瑰园', '南海', '桂城营销中心', '113.152619', '23.016808', '已建', 0, 0, 0, 0]
['佛山', '桂城新鸿基华南金融城', '南海', '桂城营销中心', '113.155619', '23.061119', '否', 0, 0, 0, 0]
['佛山', '桂城南海广场', '南海', '桂城营销中心', '113.145933', '23.04921', '已建', 0, 0, 0, 0]
['佛山', '南海家天下广场', '南海', '桂城营销中心', '113.160381', '23.046583', '否', 0, 0, 0, 0]
['佛山', '佛山大润发桂城店', '南海', '桂城营销中心', '113.141352', '23.054905', '否', 0, 0, 0, 0]
['佛山', '佛山南海新湖大酒店', '南海', '桂城营销中心', '113.158536', '23.044779', '已建', 0, 0, 0, 0]
['佛山', '财联大厦', '南海', '桂城营销中心', '113.146763', '23.054755', '否', 62, 62, 0, 0]
['佛山', '桂城瀚天科技城', '南海', '桂城营销中心', '113.181325', '23.03402', '已建', 0, 0, 0, 0]
['佛山', '桂城医院', '南海', '桂城营销中心', '113.148639', '23.046076', '否', 0, 0, 0, 0]
['佛山', '广东省中西医结合医院', '南海', '桂城营销中心', '113.14925', '23.052282', '否', 0, 0, 0, 0]
['佛山', '南海妇幼保健院', '南海', '桂城营销中心', '113.165263', '23.038602', '否', 42, 0, 6, 36]
['佛山', '佛山中海千灯湖', '南海', '桂城营销中心', '113.152218', '23.070458', '已建', 0, 0, 0, 0]
['佛山', '佛山创鸿水韵尚都', '南海', '桂城营销中心', '113.149614', '23.068447', '已建', 0, 0, 0, 0]
['佛山', '佛山保利一号公馆', '南海', '桂城营销中心', '113.152643', '23.062994', '已建', 0, 0, 0, 0]
['佛山', '佛山御城花园酒店', '南海', '桂城营销中心', '113.163297', '23.043357', '否', 0, 0, 0, 0]
['佛山', '保利洲际酒店', '南海', '桂城营销中心', '113.154558', '23.063185', '否', 0, 0, 0, 0]
['佛山', '维也纳酒店', '南海', '桂城营销中心', '113.147891', '23.04374', '否', 0, 0, 0, 0]
['佛山', '佛山米纳意假日酒店', '南海', '桂城营销中心', '113.17825', '23.030312', '否', 0, 0, 0, 0]
['佛山', '财汇大厦', '南海', '桂城营销中心', '113.146149', '23.047922', '否', 0, 0, 0, 0]
['佛山', '桂城丽致酒店', '南海', '桂城营销中心', '113.146149', '23.047922', '否', 0, 0, 0, 0]
['佛山', '丹灶环保学院', '南海', '丹灶营销中心', '112.916714', '23.055595', '已建', 0, 0, 0, 0]
['佛山', '广东石油化工职业技术学院', '南海', '狮山营销中心', '113.039804', '23.154876', '否', 0, 0, 0, 0]
['佛山', '南海东软信息技术职业学院', '南海', '狮山营销中心', '113.032479', '23.143304', '已建', 0, 0, 0, 0]
['佛山', '广东轻工职业技术学院南海校区', '南海', '狮山营销中心', '113.041877', '23.165899', '已建', 0, 0, 0, 0]
['佛山', '华南师范大学南海校区', '南海', '狮山营销中心', '113.035468', '23.153422', '否', 0, 0, 0, 0]
['佛山', '黄岐财富广场', '南海', '黄岐营销中心', '113.215623', '23.147541', '否', 8, 0, 0, 8]
['佛山', '黄岐医院', '南海', '黄岐营销中心', '113.19218', '23.123173', '否', 0, 0, 0, 0]
['佛山', '中英假日酒店', '南海', '黄岐营销中心', '113.189419', '23.111631', '否', 0, 0, 0, 0]
['佛山', '宏威大厦', '南海', '黄岐营销中心', '113.199047', '23.118686', '否', 0, 0, 0, 0]
['佛山', '真爱娱乐城', '南海', '黄岐营销中心', '113.198355', '23.118154', '否', 0, 0, 0, 0]
['佛山', '黄岐大金地假日酒店', '南海', '黄岐营销中心', '113.202408', '23.119301', '否', 0, 0, 0, 0]
['佛山', '黄岐百货大厦', '南海', '黄岐营销中心', '113.192966', '23.121227', '否', 0, 0, 0, 0]
['佛山', '黄岐嘉洲广场', '南海', '黄岐营销中心', '113.195429', '23.114756', '已建', 0, 0, 0, 0]
['佛山', '黄岐茶博城', '南海', '黄岐营销中心', '113.188352', '23.114248', '否', 0, 0, 0, 0]
['佛山', '桂城怡翠花园', '南海', '桂城营销中心', '113.168257', '23.042044', '已建', 0, 0, 0, 0]
['佛山', '桂城联华大厦', '南海', '桂城营销中心', '113.147455', '23.064033', '已建', 0, 0, 0, 0]
['佛山', '桂城叠南德宝花园', '南海', '桂城营销中心', '113.131992', '23.055728', '否', 0, 0, 0, 0]
['佛山', '桂城清华园', '南海', '桂城营销中心', '113.157115', '23.031085', '已建', 0, 0, 0, 0]
['佛山', '桂城保利花园', '南海', '桂城营销中心', '113.15973', '23.070882', '否', 0, 0, 0, 0]
['佛山', '桂城凯德广场', '南海', '桂城营销中心', '113.147261', '23.039134', '否', 0, 0, 0, 0]
['佛山', '桂城南海电信公司大楼', '南海', '桂城营销中心', '113.145335', '23.060163', '否', 5, 0, 0, 5]
['佛山', '桂城颐景园', '南海', '桂城营销中心', '113.172491', '23.040639', '已建', 0, 0, 0, 0]
['佛山', '桂城锦绣花园', '南海', '桂城营销中心', '113.133243', '23.052935', '否', 0, 0, 0, 0]
['佛山', '桂城怡翠世嘉花园', '南海', '桂城营销中心', '113.15916', '23.015993', '否', 0, 0, 0, 0]
['佛山', '桂城保利东岸', '南海', '桂城营销中心', '113.154707', '23.066146', '否', 0, 0, 0, 0]
['佛山', '桂城南海区人民医院（三级甲等）', '南海', '桂城营销中心', '113.136157', '23.041429', '已建', 8, 0, 4, 4]
['佛山', '桂城保利西街', '南海', '桂城营销中心', '113.152615', '23.065595', '否', 0, 0, 0, 0]
['佛山', '桂城海景花园', '南海', '桂城营销中心', '113.150669', '23.064648', '已建', 0, 0, 0, 0]
['佛山', '桂城俊雅花园', '南海', '桂城营销中心', '113.143345', '23.063237', '否', 7, 0, 7, 0]
['佛山', '桂城中海万锦豪园', '南海', '桂城营销中心', '113.15958', '23.057674', '已建', 0, 0, 0, 0]
['佛山', '桂城怡翠玫瑰园', '南海', '桂城营销中心', '113.152619', '23.016808', '已建', 0, 0, 0, 0]
['佛山', '桂城新鸿基华南金融城', '南海', '桂城营销中心', '113.155619', '23.061119', '否', 0, 0, 0, 0]
['佛山', '桂城南海广场', '南海', '桂城营销中心', '113.145933', '23.04921', '已建', 0, 0, 0, 0]
['佛山', '南海家天下广场', '南海', '桂城营销中心', '113.160381', '23.046583', '否', 0, 0, 0, 0]
['佛山', '佛山大润发桂城店', '南海', '桂城营销中心', '113.141352', '23.054905', '否', 0, 0, 0, 0]
['佛山', '佛山南海新湖大酒店', '南海', '桂城营销中心', '113.158536', '23.044779', '已建', 0, 0, 0, 0]
['佛山', '财联大厦', '南海', '桂城营销中心', '113.146763', '23.054755', '否', 62, 62, 0, 0]
['佛山', '桂城瀚天科技城', '南海', '桂城营销中心', '113.181325', '23.03402', '已建', 0, 0, 0, 0]
['佛山', '桂城医院', '南海', '桂城营销中心', '113.148639', '23.046076', '否', 0, 0, 0, 0]
['佛山', '广东省中西医结合医院', '南海', '桂城营销中心', '113.14925', '23.052282', '否', 0, 0, 0, 0]
